,Address,Price,Lat,Lng
0,7947 Claremont DR,317900,32.798551,-96.711084
1,9833 Walnut Street,50000,32.923402,-96.713412
2,9825 Walnut Street,50000,32.923402,-96.713412
3,9809 Walnut Street,50000,32.923402,-96.713412
4,9805 Walnut Street,51000,32.923402,-96.713412
5,9815 Walnut Street,51000,32.923402,-96.713412
6,8600 Coppertowne Lane,144000,32.89793,-96.725238
7,6215 Teague Drive,160000,32.670169,-96.77937
8,2824 Belknap Avenue,164000,32.71301,-96.797069
9,3615 Dutton Drive,173000,32.725778,-96.879679
10,1122 Jackson Street,206000,32.778393,-96.801314
11,6102 Summer Creek Circle,210000,32.862902,-96.757014
12,12146 Willowdell Drive,219900,32.915288,-96.764139
13,4242 N Capistrano Drive,235000,33.00578,-96.836348
14,2962 Housley Drive,235000,32.851336,-96.662742
15,2962 Housley DR,235000,32.851336,-96.662742
16,2820 Linfield Road,239900,32.70736,-96.772001
17,2919 Gus Thomasson Road,240000,32.835133,-96.665163
18,3035 Newcastle Drive,249900,32.880313,-96.875368
19,2507 S Vernon Avenue,259000,32.721298,-96.837144
20,9835 Whistler Drive,275000,32.686744,-96.651386
21,5200 Martel Avenue,279000,32.831307,-96.778953
22,2150 Lovedale Avenue,300000,32.829296,-96.854744
23,4834 Fallon Place,320000,32.783661,-96.709586
24,1407 Glenfield Avenue,325000,32.718839,-96.844566
25,1627 Wilbur Street,325000,32.722586,-96.847349
26,13911 Preston Valley Place,340000,32.93841,-96.806153
27,9752 Burney Drive,379900,32.920543,-96.719499
28,11232 Lanewood Circle,435000,32.856488,-96.688194
29,2217 Kirby Street,449900,32.808087,-96.782366
30,5015 Manett Street,459990,32.814636,-96.783213
31,4611 Travis Street,470000,32.824229,-96.790203
32,9703 Robin Hill Circle,475000,32.880155,-96.713255
33,9723 Lanward Circle,475000,32.879673,-96.703449
34,1632 Vaughan Court,485000,32.754195,-96.847123
35,17201 Meadow Tree Circle,509900,32.980706,-96.826767
36,202 S Edgefield Avenue,519900,32.74397,-96.843877
37,180 S Cisco Street,539000,32.792658,-96.764512
38,7001 Vivian Avenue,599000,32.804953,-96.737206
39,10849 Scotspring Lane,725000,32.859313,-96.698038
40,7704 Queens Garden Drive,725000,32.981762,-96.773942
41,9591 Highedge Drive,759000,32.877661,-96.724113
42,9118 Rock Daisy Court,799000,32.883656,-96.736012
43,6858 Meadowcreek Drive,850000,32.941956,-96.787015
44,9515 Moss Haven Drive,899000,32.889805,-96.742698
45,6230 Joyce Way,1400000,32.878893,-96.798443
46,5331 Emerson Avenue,1595000,32.846589,-96.820064
47,5122 Horseshoe Trail,2250000,32.859547,-96.823533
48,5001 Bowser Avenue,82500,32.823969,-96.818207
49,2121 Lolita Drive,125375,32.749553,-96.680507
50,2627 Douglas Avenue,128500,32.809749,-96.817319
51,8550 Fair Oaks Crossing,129900,32.897032,-96.727856
52,3700 Hancock Street,129900,32.76239,-96.742141
53,10121 Stebbins Street,130000,32.716214,-96.649186
54,5550 Spring Valley Road,130000,32.938982,-96.81258
55,12888 Montfort Drive,139000,32.92394,-96.810621
56,4117 Pampas Street,145000,32.731641,-96.888481
57,5335 Bent Tree Forest Drive,145000,32.965634,-96.816548
58,8615 Files Street,146750,32.728355,-96.671777
59,511 Glencairn Drive,154900,32.655699,-96.829657
60,3038 Marjorie Avenue,155000,32.702058,-96.769321
61,7706 Meadow Road,174900,32.886296,-96.774511
62,1816 Peabody Avenue,175000,32.762224,-96.774011
63,5051 N Hall Street,177000,32.822027,-96.820232
64,1920 Oak Hill Circle,178374,32.745204,-96.671434
65,5881 Preston View Boulevard,184000,32.935616,-96.806251
66,7640 W Greenway Boulevard,184000,32.848976,-96.817771
67,1619 Mcadams Avenue,189000,32.716934,-96.84688
68,4105 Hamilton Avenue,195000,32.774983,-96.75142
69,1811 Goldwood Drive,215995,32.657227,-96.847074
70,5808 Sandhurst Lane,217000,32.843455,-96.766479
71,2720 E Atoll Drive,225000,32.714189,-96.799074
72,9826 Amberton Parkway,225000,32.92225,-96.738427
73,406 Penguin Drive,229900,32.679719,-96.819043
74,3919 Kenilworth Street,235000,32.766034,-96.742665
75,6234 Bandera Avenue,235000,32.86721,-96.799408
76,17820 Windflower Way,239900,32.995321,-96.801804
77,1926 Berwick Avenue,240000,32.726761,-96.797319
78,4102 Buena Vista Street,240000,32.815576,-96.795411
79,11364 Lanewood Circle,240000,32.856487,-96.684124
80,9307 Sandyhook Circle,240000,32.758666,-96.662961
81,804 Cameron Avenue,249000,32.802103,-96.744184
82,2639 Crest Ridge Drive,250000,32.830558,-96.668785
83,2727 Reagan Street,259000,32.80847,-96.813208
84,4144 Pluto Street,259900,32.79235,-96.890744
85,100 N Hampton Road,269900,32.745218,-96.856493
86,2119 Highwood Drive,299000,32.829759,-96.681737
