ZipCode,Mean,Median,Max,Min
75001.0,431490.0,443500.0,613000,194900
75006.0,308300.3287671233,310000.0,532018,124900
75007.0,350550.406779661,330500.0,650000,215000
75010.0,474751.6612903226,418376.0,1100000,270000
75023.0,356186.03571428574,338750.0,644864,176900
75024.0,733417.7272727273,528375.0,5100000,299000
75025.0,400948.829787234,400000.0,599000,250000
75033.0,646594.5643564357,525000.0,2559000,274900
75034.0,1309934.5,965154.5,5495000,179000
75035.0,543383.1438848921,475000.0,1224990,252000
75036.0,577119.725,439000.0,1948000,269900
75038.0,728186.0833333334,481998.0,3795000,160000
75039.0,482730.7254901961,479000.0,995000,289999
75040.0,258900.60240963855,240000.0,556735,45000
75041.0,218290.59375,225000.0,389000,125000
75042.0,262612.6304347826,249950.0,499990,120000
75043.0,330408.20454545453,270950.0,2490000,79900
75044.0,311970.1777777778,289900.0,650000,179000
75060.0,276876.14705882355,252499.5,610000,120000
75061.0,256026.07692307694,259999.0,424990,112500
75062.0,332912.5,271950.0,729000,129000
75063.0,434874.66101694916,430000.0,849500,174900
75068.0,662402.0,700958.0,816576,504060
75071.0,520000.0,520000.0,520000,520000
75074.0,332562.24528301886,299900.0,1225000,129000
75075.0,390481.5294117647,394995.0,809000,140000
75093.0,1015192.7558139535,653750.0,4800000,200000
75094.0,535939.0,459900.0,754900,335000
75104.0,547323.9701492537,276000.0,9950000,134500
75201.0,2541250.0,2900000.0,3950000,415000
75202.0,203000.0,203000.0,206000,200000
75203.0,425625.0,487500.0,487500,240000
75204.0,534681.25,522000.0,1050000,240000
75205.0,355000.0,355000.0,470000,240000
75206.0,570867.0,495000.0,1320000,95000
75208.0,564927.2727272727,485000.0,1950000,269900
75209.0,975435.7142857143,719950.0,3195000,82500
75210.0,176780.0,195000.0,235000,99000
75211.0,288642.85714285716,319000.0,400000,145000
75212.0,419900.0,419900.0,579900,259900
75214.0,689436.8421052631,689000.0,1500000,99900
75215.0,333328.23529411765,185000.0,1825000,100000
75216.0,216972.72727272726,181900.0,389000,155000
75217.0,186289.14285714287,178374.0,275000,130000
75218.0,506921.35714285716,517499.5,749900,215000
75219.0,587495.7916666666,430000.0,2100000,124900
75220.0,568600.0,370000.0,1350000,249900
75223.0,511975.0,574450.0,650000,249000
75224.0,282250.0,292000.0,469000,121000
75225.0,1041000.0,1295000.0,2200000,235000
75226.0,369450.0,369450.0,539000,199900
75227.0,275989.5833333333,283850.0,415000,125375
75228.0,297052.38095238095,280000.0,450000,154500
75229.0,652350.0,520000.0,2199000,299000
75230.0,1223423.761904762,975000.0,2990000,139000
75231.0,446663.63636363635,475000.0,899000,89900
75232.0,268472.0,257997.5,394950,154900
75233.0,359900.0,359900.0,359900,359900
75234.0,325000.0,325000.0,325000,325000
75235.0,361950.0,342500.0,614700,177000
75236.0,425900.0,425900.0,425900,425900
75237.0,247450.0,247450.0,249900,245000
75238.0,574042.8571428572,487450.0,1050000,389000
75240.0,550580.0,289900.0,1700000,184000
75241.0,200783.33333333334,204950.0,239900,160000
75243.0,253118.18181818182,177500.0,1399000,50000
75244.0,574128.5714285715,549000.0,859000,335000
75246.0,1400000.0,1400000.0,1400000,1400000
75248.0,1200688.3333333333,579450.0,7500000,119000
75249.0,209900.0,209900.0,209900,209900
75252.0,638205.0,682700.0,925000,239900
75253.0,154000.0,155000.0,210000,97000
75254.0,929384.6153846154,850000.0,2795000,112000
75287.0,371080.9090909091,385000.0,525000,149990
75603.0,425990.0,425990.0,425990,425990
76001.0,298549.5,299945.0,432000,90000
76002.0,298612.1904761905,292000.0,381466,224900
76005.0,497062.0344827586,466589.0,869900,282000
76006.0,459221.0,339000.0,2500000,89900
76008.0,445140.3333333333,424825.0,491164,419432
76010.0,204194.62790697673,196000.0,427000,97000
76011.0,204193.68421052632,163900.0,414990,110000
76012.0,382329.45945945947,289900.0,3450000,125000
76013.0,271713.0882352941,270000.0,420000,135900
76014.0,222106.66666666666,219900.0,269500,175000
76015.0,248100.0,240000.0,325000,199900
76016.0,377864.375,319950.0,2700000,200000
76017.0,289851.67391304346,257499.5,615000,119000
76018.0,240619.1379310345,240000.0,449955,165500
76028.0,334975.0,292450.0,525000,230000
76036.0,304866.6666666667,292000.0,450000,210000
76040.0,235000.0,235000.0,235000,235000
76052.0,299723.07692307694,299900.0,399900,220000
76053.0,410000.0,410000.0,410000,410000
76102.0,633225.0,529950.0,1258000,215000
76103.0,187233.33333333334,169950.0,249500,145000
76104.0,249466.66666666666,227500.0,460000,112000
76105.0,180500.625,192449.5,235000,94900
76106.0,206000.0,212000.0,275000,125000
76107.0,379240.0,305000.0,749000,172000
76108.0,260856.08695652173,240000.0,550000,153900
76109.0,563188.2352941176,349900.0,1895000,239500
76110.0,376950.0,332450.0,674900,144900
76111.0,208675.0,179950.0,319900,154900
76112.0,214123.5294117647,220000.0,309000,105000
76114.0,201500.0,172000.0,290000,142500
76115.0,171600.0,194900.0,210000,109900
